hour,mean,std,count
0,21.88403314073428,15.265057268942199,3961771
1,20.705135555689843,14.349158378978355,2780112
2,21.205291675082815,14.742098188228113,1980320
3,21.94324660261036,15.22732131546535,1457884
4,24.637485208826405,16.606023267933683,1285733
5,24.35973489340177,16.52710989301008,1688302
6,23.908221806462286,16.237845899443222,2732346
7,22.280309037969268,15.311050865099956,4006951
8,21.367993512032953,14.651270865972107,5044107
9,19.59038546316399,13.673299281354328,5009921
10,19.45895348064435,13.819208740271913,4875218
11,19.902970220953062,14.181465757152782,4942905
12,20.711021541928922,14.815750664952313,5136216
13,21.409461747534305,15.341329398740053,5364713
14,21.964680518786626,15.900451713847131,5802000
15,22.087801752900017,16.283473508483464,6031947
16,21.891902934118878,16.259328105835323,6123985
17,22.04493944142698,15.742860069703907,6491649
18,21.277508267406397,14.650560751314472,6790219
19,20.023705021787872,13.686072958617949,6599084
20,19.704814546037742,13.84929949518617,6010764
21,20.041083355725053,14.348313909947493,5690347
22,21.834434496339238,15.232605574840852,5568788
23,22.87340183185826,15.782195438208696,5051155
