pred_decile,resid_var,resid_std,resid_mean,n
"(5.074, 12.202]",0.06229900068187335,0.24959767763717944,-0.0021353930076600624,677352
"(12.202, 14.011]",0.02967145178003019,0.1722540326959871,-0.012291213628177665,677263
"(14.011, 15.451]",0.03973321424156546,0.19933191977594922,0.018539759054659474,677306
"(15.451, 17.008]",0.043479760315959404,0.20851800957221753,0.029910456053598353,677303
"(17.008, 18.617]",0.04821037827579945,0.2195686186042975,-0.03357367040525981,677306
"(18.617, 20.295]",0.05650536223548624,0.23770856575960034,-0.02777636573347034,677309
"(20.295, 22.348]",0.06793345598939672,0.26064047266185797,-0.00453709198437808,677320
"(22.348, 25.069]",0.06977600826779606,0.26415148734731,-0.016146075326291007,677339
"(25.069, 29.814]",0.11886503135689629,0.34476808343710746,0.023929252675681457,677255
"(29.814, 111.717]",5.592708917304326,2.3648908890907263,0.03506641147425945,677306
